JournalCode|JournalLib|EcritureNum|EcritureDate|CompteNum|CompteLib|CompAuxNum|CompAuxLib|PieceRef|PieceDate|EcritureLib|Debit|Credit|EcritureLet|DateLet|ValidDate|Montantdevise|Idevise
AC|Achats|AC00001|20240517|611000|Sous-traitance generale|||AC058161|20240517|FACT 250101 ELECTRICITE DE FRANCE|647,32|0,00|||20240519||
AC|Achats|AC00001|20240517|447100|Autres impots, taxes et versements assimiles|||AC058161|20240517|FACT 250101 ELECTRICITE DE FRANCE|0,00|647,32|||20240519||
AC|Achats|AC00002|20240802|615500|Entretien et reparations sur biens mobiliers|||AC085417|20240802|FACT 250217 PAPETERIE EXPRESS|1667,10|0,00|||20240803||
AC|Achats|AC00002|20240802|500000|Valeurs mobilieres de placement|||AC085417|20240802|FACT 250217 PAPETERIE EXPRESS|0,00|1667,10|||20240803||
AC|Achats|AC00003|20241101|606400|Fournitures administratives|||AC116644|20241101|FACT 250208 FOURNITURES BUREAU|996,92|0,00|||20241108||
AC|Achats|AC00003|20241101|468600|Charges a payer|||AC116644|20241101|FACT 250208 FOURNITURES BUREAU|0,00|996,92|||20241108||
AC|Achats|AC00004|20241030|606100|Electricite, gaz, eau|||AC105778|20241030|FACT 250125 PAPETERIE EXPRESS|1772,51|0,00|||20241103||
AC|Achats|AC00004|20241030|427000|Personnel - Oppositions|||AC105778|20241030|FACT 250125 PAPETERIE EXPRESS|0,00|1772,51|||20241103||
AC|Achats|AC00005|20240605|601000|Achats de matieres premieres|||AC064983|20240605|FACT 250120 TELECOM SAS|650,27|0,00|||20240608||
AC|Achats|AC00005|20240605|418100|Clients - Factures a etablir|||AC064983|20240605|FACT 250120 TELECOM SAS|0,00|650,27|||20240608||
AC|Achats|AC00006|20241031|618100|Documentation generale|||AC102619|20241031|FACT 250208 DALKIA FRANCE|1601,14|0,00|||20241101||
AC|Achats|AC00006|20241031|408400|Fournisseurs d'immobilisations - Factures non parvenues|||AC102619|20241031|FACT 250208 DALKIA FRANCE|0,00|1601,14|||20241101||
AC|Achats|AC00007|20241031|606800|Autres matieres et fournitures|||AC102604|20241031|FACT 250106 FOURNITURES BUREAU|1658,88|0,00|||20241106||
AC|Achats|AC00007|20241031|445860|TVA sur factures non parvenues|||AC102604|20241031|FACT 250106 FOURNITURES BUREAU|0,00|1658,88|||20241106||
AC|Achats|AC00008|20240213|606100|Electricite, gaz, eau|||AC022375|20240213|FACT 250202 ELECTRICITE DE FRANCE|1943,67|0,00|||20240215||
AC|Achats|AC00008|20240213|437000|Autres organismes sociaux|||AC022375|20240213|FACT 250202 ELECTRICITE DE FRANCE|0,00|1943,67|||20240215||
AC|Achats|AC00009|20241024|616000|Primes d'assurance|||AC101088|20241024|FACT 250215 TELECOM SAS|1849,70|0,00|||20241028||
AC|Achats|AC00009|20241024|445510|TVA a decaisser|||AC101088|20241024|FACT 250215 TELECOM SAS|0,00|1849,70|||20241028||
AC|Achats|AC00010|20240805|627000|Services bancaires et assimiles|||AC086577|20240805|FACT 250211 PAPETERIE EXPRESS|1226,42|0,00|||20240812||
AC|Achats|AC00010|20240805|468600|Charges a payer|||AC086577|20240805|FACT 250211 PAPETERIE EXPRESS|0,00|1226,42|||20240812||
AC|Achats|AC00011|20241220|618100|Documentation generale|||AC129876|20241220|FACT 250211 PAPETERIE EXPRESS|726,12|0,00|||20241221||
